,name,understat_id
0,Sergio Agüero,619
1,Harry Kane,647
2,Diego Costa,802
3,Charlie Austin,848
4,Alexis Sánchez,498
5,Olivier Giroud,502
6,Eden Hazard,701
7,Saido Berahino,811
8,Christian Benteke,606
9,David Silva,617
10,Wayne Rooney,629
11,Graziano Pellè,841
12,Wilfried Bony,622
13,Nacer Chadli,648
14,Leonardo Ulloa,756
15,Papiss Demba Cissé,850
16,Mame Biram Diouf,868
17,Danny Ings,986
18,Romelu Lukaku,594
19,Christian Eriksen,646
20,Diafra Sakho,656
21,Sadio Mané,838
22,Yaya Touré,878
23,Robin van Persie,4387
24,Juan Mata,554
25,Steven Gerrard,4408
26,Ki Sung-yueng,723
27,Jonathan Walters,863
28,Peter Crouch,872
29,Nikica Jelavic,940
30,Kevin Mirallas,595
31,Raheem Sterling,618
32,Loïc Remy,690
33,Gylfi Sigurdsson,714
34,Bafétimbi Gomis,717
35,Ayoze Pérez,770
36,Charlie Adam,873
37,Glenn Murray,882
38,Santiago Cazorla,965
39,Aaron Ramsey,504
40,Jason Puncheon,514
41,Ander Herrera,552
42,Jordan Henderson,605
43,Marouane Fellaini,630
44,Oscar,692
45,Leroy Fer,711
46,Steven Naismith,824
47,Gabriel Agbonlahor,890
48,Stewart Downing,1712
49,Frank Lampard,4418
50,Adam Lallana,486
51,Philippe Coutinho,488
52,James Milner,489
53,Theo Walcott,503
54,Mile Jedinak,515
55,Connor Wickham,519
56,Andy Carroll,537
57,Dame N&#039;Doye,731
58,Dwight Gayle,743
59,Jamie Vardy,755
60,Shane Long,839
61,John Terry,917
62,Steven Fletcher,930
63,Stevan Jovetic,1524
64,George Boyd,1656
65,David Nugent,1753
66,Ashley Barnes,4422
67,Esteban Cambiasso,4440
68,Daniel Sturridge,483
69,Mesut Özil,499
70,Danny Welbeck,501
71,Yannick Bolasie,518
72,Wilfried Zaha,522
73,Cheikhou Kouyaté,532
74,Enner Valencia,539
75,Morgan Schneiderlin,551
76,Phil Jagielka,587
77,Chris Smalling,628
78,Fraizer Campbell,634
79,Branislav Ivanovic,682
80,Falcao,696
81,Jermain Defoe,735
82,Riyad Mahrez,750
83,Jack Colback,767
84,Moussa Sissoko,772
85,Dusan Tadic,840
86,Bojan,871
87,Adam Johnson,929
88,Jordi Gómez,931
89,Brown Ideye,1008
90,Edin Dzeko,1253
91,Abel Hernández,1698
92,Didier Drogba,4434
93,Mohamed Diamé,4471
94,Eduardo Vargas,85
95,André Schürrle,154
96,Laurent Koscielny,494
97,Victor Moses,541
98,Seamus Coleman,585
99,Tom Cleverley,596
100,Fernandinho,614
101,Danny Rose,641
102,Cesc Fàbregas,686
103,Jack Cork,712
104,Wayne Routledge,719
105,Jack Rodwell,733
106,Sebastian Larsson,740
107,Jeffrey Schlupp,757
108,Jonjo Shelvey,769
109,Nathan Dyer,783
110,Craig Gardner,812
111,Victor Anichebe,818
112,Victor Wanyama,836
113,Matt Phillips,1737
114,Steven N&#039;Zonzi,2413
115,Morgan Amalfitano,3364
116,Ángel Di María,3553
117,Samuel Eto&#039;o,3814
118,Bobby Zamora,4396
119,Andreas Weimann,4427
120,Héctor Bellerín,492
121,Scott Dann,512
122,Joe Ledley,517
123,Emmanuel Adebayor,521
124,Mark Noble,533
125,Aaron Cresswell,534
126,Daley Blind,548
127,Leighton Baines,588
128,James McCarthy,589
129,Ross Barkley,592
130,Aaron Lennon,593
131,Nathaniel Clyne,603
132,Alberto Moreno,608
133,Fernando,615
134,Aleksandar Kolarov,621
135,Ashley Young,631
136,James McArthur,633
137,Eric Dier,643
138,Erik Lamela,644
139,Willian,700
140,Wes Morgan,748
141,Marc Albrighton,753
142,Andros Townsend,775
143,Andy King,784
144,Craig Dawson,804
145,Rickie Lambert,816
146,James Chester,819
147,Ryan Bertrand,835
148,Samir Nasri,877
149,Ryan Shawcross,886
150,Leon Osman,891
151,Chris Brunt,904
152,Marouane Chamakh,905
153,Yoan Gouffran,916
154,Brede Hangeland,933
155,Ramires,936
156,Mauro Zárate,939
157,Andrej Kramaric,956
158,James Morrison,990
159,Jack Wilshere,1036
160,Ben Mee,1654
161,Scott Arfield,1659
162,Ahmed Elmohamady,1685
163,Eljero Elia,4367
164,Carlton Cole,4383
165,Niko Kranjcar,4397
166,Tomas Rosicky,4400
167,Lazar Markovic,4406
168,Sammy Ameobi,4420
169,Joe Allen,480
170,Calum Chambers,508
171,Joel Ward,510
172,Winston Reid,529
173,James Tomkins,530
174,John Stones,586
175,Arouna Koné,601
176,Emre Can,604
177,Martin Skrtel,607
178,Pablo Zabaleta,610
